productcode,vendor_partno,productname,displaybegindate,displayenddate,hideproduct,stockstatus,lastmodified,options_cloned_from,photos_cloned_from,share_stockstatus_with,lastmodby,ischildofproductcode,ischildofproductcode_productid,options_cloned_from_productid,photos_cloned_from_productid,share_stockstatus_with_productid,productpopularity,homepage_section,autodropship,donotallowbackorders,warehouselocation,warehouseaisle,warehousebin,warehousecustom,upc_code,productkeywords,productnameshort,productweight,freeshippingitem,minqty,maxqty,recurringstartprice,recurringstartduration,recurringprice,recurringhowoften,recurringduration,allowpriceedit,productprice,listprice,saleprice,taxableproduct,selectedoptionids,giftwrapcost,downloadfile,availability,metatag_title,metatag_description,discountedprice_level1,discountedprice_level2,discountedprice_level3,discountedprice_level4,discountedprice_level5,photo_subtext,photo_alttext,discountedrecurringprice_level1,discountedrecurringprice_level2,discountedrecurringprice_level3,discountedrecurringprice_level4,discountedrecurringprice_level5,fixed_shippingcost,fixed_shippingcost_outside_localregion,uses_product_keytypes,price_subtext,price_subtext_short,listprice_name,productprice_name,saleprice_name,hide_yousave,hide_freeaccessories,setupcost,setupcost_name,discountedsetupcost_level1,discountedsetupcost_level2,discountedsetupcost_level3,discountedsetupcost_level4,discountedsetupcost_level5,setupcost_title,stockreorderqty,warehouses,affiliate_commissionable_value,addtocartbtn_replacement_text,book_isbn,productcondition,estship_ground,estship_2ndday,estship_overnight,customfield1,customfield2,customfield3,customfield4,customfield5,shoppingdotcom_category,yahoo_category,yahoo_medium,productmanufacturer,hide_when_outofstock,stocklowqtyalarm,addtopo_now,lastpo_qty,lastpo_date,howtogetsaleprice,inv_verify_qtyonhand,inv_lastverified,enablemultichildaddtocart,vendor_price,enableoptions_inventorycontrol,photourl_small,photourl_large,private_section_customers_only,quickbooks_item_accnt,quickbooks_item_assetaccnt,quickbooks_item_cogsaccnt,vat_percentage,recurring_pricing_text,google_product_type,length,width,height,ships_by_itself,package_type,oversized,additional_handling_indicator,reward_points_given_for_purchase,productdescriptionshort,productdescription,productfeatures,techspecs,extinfo,orderfinished_note,metatag_keywords,productdescription_abovepricing,custom_metatags_override,ean,google_product_category,google_size,google_color,google_gender,google_age_group,google_availability,google_pattern,google_material,estdaystoship,google_unique_identifier_exists,google_adult_product,google_sizetype,google_sizesystem,nonshippable,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,createddate,mpn,hazardousproduct,avalarataxcode,createdutc,modifiedutc,unitofmeasure,categoryids,optionids,accessories,freeaccessories,producturl,photourl,categorytree,numproductssharingstock,photoseed
"5164-1","","Roughing Discs","","","","14","10/30/2024 2:02:00 PM","","","","13244","","","","","","","","N","Y","","","","","","516412","Roughing Discs: Extra Heavy Duty","1","N","","","","","","","","N","1","","","","","","","","Roughing Discs: Extra Heavy Duty","Roughing Discs: Extra Heavy Duty","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","Roughing discs: extra heavy duty - bag of 12","Roughing discs: extra heavy duty<br />1-1/4"" x .082""<br />Sold as singles or packs of 1 dozen","","","","","Roughing Discs: Extra Heavy Duty","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68","1351,1352","","","https://www.factor2.com/ProductDetails.asp?ProductCode=5164-1","http://www.factor2.com/v/vspfiles/photos/5164-1-1.jpg","Discontinued Items","0",""
"564-Kit","","Extrinsic Sealing Kit","","","","","4/30/2024 10:33:00 AM","","","","13244","","","","","","","","N","N","","","","","","564Kit","Extrinsic Sealing Kit","3","N","","","","","","","","N","72.95","","","","","","","Usually Ships in 24 to 48 Hours","Extrinsic Sealing Kit","For the completion of the extrinsic coloration to the patient's satisfaction.","","","","","","","Extrinsic Sealing Kit","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","Excellent Sealing Silicone.","A-564 has been proven  to be an excellent sealing silicone with extremely high adhesion properties.  This one part acetoxy silicone elastomer has a lower viscosity than the typical acetoxy systems on the market.  Low viscosity, low durometer of 28, high tear of 100 ppi. The A-564 is translucent and possesses elevated cohesive properties, bonding silicone to silicone. 

The TS-564 is a diluted version of the A-564 this creates a very tenacious sealant, which is being applied over extrinsic painting this however may create a glossy surface which is typically not desired.
 
Lastly the MD-564 is a final wash to eliminate the gloss finish to the appliance.<br />All three Products (A-564 (2oz), MD-564 (4oz), TS-564(4oz))<div><p class=""MsoNormal""><span style=""font-weight: bold;""><span style=""font-size: 8.5pt; font-family: Arial, sans-serif; color: red; background-color: rgb(238, 238, 238); font-style: italic; background-position: initial initial; background-repeat: initial initial;"">***Customers purchasing this product and choosing
AIR SHIPPING can avoid additional shipping expenses by ordering this product in
1 oz. containers.***  (some restrictions
apply) <br />***AIR SHIPMENTS OVER 1oz BOTTLES ARE NOT AVAILABLE IN THE CONTINENTAL U.S.!!!***<o:p></o:p></span></span></p></div>","","<div><a href=""http://www.factor2.com/v/vspfiles/sds tds 2023/tds 2023/564-KIT (TS-564, MD-564, A-564) (Factor II).pdf"" target=""_blank"">Technical Data Sheet</a></div>
<div><a href=""http://www.factor2.com/v/vspfiles/sds tds 2023/sds 2023/A-564.pdf"" target=""_blank"">A-564 SDS</a></div>
<div><a href=""http://www.factor2.com/v/vspfiles/sds tds 2023/sds 2023/TS-564 (Factor II) (SDS) (Mar18).pdf"" target=""_blank"">TS-564 SDS</a></div>
<div><a href=""http://www.factor2.com/v/vspfiles/sds tds 2023/sds 2023/MD-564 (Factor II) (SDS) (Mar18).pdf"" target=""_blank"">MD-564 SDS</a></div>","","","silicone, coloring,pigment, seal, elastomer, Dow corning replacement, medical adhesive A, Silicone's Implant Grade Silicone Elastomer Dispersion's are designed for use in fabricating high strength, Enhance color strength in coatings, dispersion containing amino-functional silicone dispersed in a mixture of aliphatic or isopropanol solvents ; Good adhesion to metal substrates, Medical Health Silicone Dispersion Solutions from Dow Corning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94,60,1977,14,29,1629,6","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=564-Kit","http://www.factor2.com/v/vspfiles/photos/564-Kit-1.jpg","Kits","0",""
"564-NFS-Kit","","Extrinsic Sealing Kit Non Flammable","","","","","4/30/2024 10:33:00 AM","","","","13244","","","","","","","","N","N","","","","","","564Kit","Extrinsic Sealing Kit","3","N","","","","","","","","N","86.95","","","","","","","Usually Ships in 24 to 48 Hours","Extrinsic Sealing Kit","For the completion of the extrinsic coloration to the patient's satisfaction.","","","","","","","Extrinsic Sealing Kit","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","Excellent Sealing Silicone.","A-564 has been proven  to be an excellent sealing silicone with extremely high adhesion properties.  This one part acetoxy silicone elastomer has a lower viscosity than the typical acetoxy systems on the market.  Low viscosity, low durometer of 28, high tear of 100 ppi. The A-564 is translucent and possesses elevated cohesive properties, bonding silicone to silicone. 

The TS-564-NFS is a diluted version of the A-564 this creates a very tenacious sealant, which is being applied over extrinsic painting this however may create a glossy surface which is typically not desired.
 
Lastly the MD-564-NFS is a final wash to eliminate the gloss finish to the appliance.<br />All three Products (A-564 (4oz), MD-564-NFS (4oz), TS-564-NFS (4oz))<div><p class=""MsoNormal""><span style=""font-weight: bold;""><span style=""font-size: 8.5pt; font-family: Arial, sans-serif; color: red; background-color: rgb(238, 238, 238); font-style: italic; background-position: initial initial; background-repeat: initial initial;""> (some restrictions
apply)<o:p></o:p></span></span></p></div>","","<a href=""http://www.factor2.com/v/vspfiles/sds tds 2023/tds 2023/564-KIT (TS-564, MD-564, A-564) (Factor II).pdf"" target=""_blank"">Technical Data Sheet</a>","","","silicone, coloring,pigment, seal, elastomer, Dow corning replacement, medical adhesive A, Silicone's Implant Grade Silicone Elastomer Dispersion's are designed for use in fabricating high strength, Enhance color strength in coatings, dispersion containing amino-functional silicone dispersed in a mixture of aliphatic or isopropanol solvents ; Good adhesion to metal substrates, Medical Health Silicone Dispersion Solutions from Dow Corning","","","","","","","","","","","","","","","","","","","","","","","2/18/2020 2:42:01 PM","","","","","","","94,60,14,29,1629,6,1274","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=564-NFS-Kit","http://www.factor2.com/v/vspfiles/photos/564-NFS-Kit-1.jpg","Kits","0","1582038122"
"62280","","62280:  Mollocutters","","","","","8/7/2024 3:48:00 PM","","","","13244","","","","","","","","N","N","","","","","","62280","Mollocutters, silicone bur, silicon bur, silicon c","1","N","","","","","","","","N","110.95","","","","","","","","Mollocutters","Set of 3 silicone trimming wheels specially designed to trim silicone flash for a prosthesis.","","","","","","","Mollocutters, silicone bur, silicon bur, silicon cutter, silicone cutter","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","3 Silicone trimming wheels.","Mollocutters, set of 3 silicone trimming wheels.<br />Specially designed to trim silicone flash for a prosthesis.","","","","","Mollocutters, Mollocutters, set of 3 silicone trimming wheels, silicone cutters, silicone burs, silicon burs, silicon trimming bur, silicon cutters,
Specially designed to trim silicone flash for a prosthesis.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73,1987,111,110,25,65,10","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=62280","http://www.factor2.com/v/vspfiles/photos/62280-1.jpg","Lab Supplies / Tools","0",""
"7047V12","","ELKEM SILBIONE FLUID 12,500 CPS","8/14/2023 12:00:00 AM","8/31/2023 11:59:00 PM","Y","2","10/31/2023 10:38:00 AM","","","","13244","","","","","","","","N","N","","","","","","","","460","N","","","","","","","","","16700","","","","","","","Usually Ships in 24 to 72 Hours","","","","","","","","","","","","","","","0","0","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","Y","","N","N","","","SILBIONE FLD 70047V12 500 ELKEM 12,500 CPS SILCONE FLUID<br />***YOU MUST SEND IN AN APPROVED AFFIDAVIT BEFORE PURCHASING***<br /><a href=""http://www.factor2.com/v/vspfiles/downloadables/AFFIDAVIT 2023.pdf "" target=""_blank"">Download Affidavit Here<br /></a>PLEASE FILL OUT AND RETURN TO sales@factor2.com <br /><br />***SHIPS FOR FREE IN THE CONTINENTAL UNITED STATES EXCLUDES ALASKA***","","","","","","","","","","","","","","","","","","","","","","","","","","","","8/14/2023 10:20:17 AM","","","","2023-08-14 17:20:17.47 +00:00","2023-08-14 17:20:17.47 +00:00","","57,14,38","995","","","https://www.factor2.com/ProductDetails.asp?ProductCode=7047V12","http://www.factor2.com/v/vspfiles/photos/7047V12-1.jpg","Silicones > Silicone Fluids","0","1692008931"
"7690","","Mini Chamois Wheel 5/8 (1dz)","","","","2","11/1/2023 2:14:00 PM","","","","13244","","","","","","","","N","N","","","","","","","","1","N","","","","","","","","N","12.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","Mini Chamois Wheel 5/8 (1dz)","","","","","Buffing wheels","","","","","","","","","","","","","","","","","","","","","","","2/25/2021 1:22:55 PM","","","","","","","73,111","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=7690","http://www.factor2.com/v/vspfiles/photos/7690-1.jpg","Lab Supplies / Tools","0",""
"78530","","GLASS CEMENT SLABS","","","","2","8/8/2024 1:45:00 PM","","","","13244","","","","","","","","N","Y","","","","","","","","1","N","","","","","","","","","10.99","","","","","","","Usually Ships in 24 to 48 Hours","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","Glass mixing slabs are polished glass mixing pads with beveled edges. These slabs promote improved mixing of dental products with safe and comfortable handling.<br />78530 - 4""x6""x1/4""","","","","","","","","","","","","","","","","","","","","","","","","","","","","8/8/2024 1:43:27 PM","","","","2024-08-08 20:43:27.25 +00:00","2024-08-08 20:43:27.25 +00:00","","73","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=78530","http://www.factor2.com/v/vspfiles/photos/78530-1.jpg","Lab Supplies / Tools","0",""
"78570","","GLASS CEMENT SLABS","","","","1","8/8/2024 1:46:00 PM","","","","13244","","","","","","","","N","Y","","","","","","","","1","N","","","","","","","","","10.99","","","","","","","Usually Ships in 24 to 48 Hours","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","Glass mixing slabs are polished glass mixing pads with beveled edges. These slabs promote improved mixing of dental products with safe and comfortable handling.<br />78570 - 3""x6""x1/2""","","","","","","","","","","","","","","","","","","","","","","","","","","","","8/8/2024 1:44:23 PM","","","","2024-08-08 20:44:23.08 +00:00","2024-08-08 20:44:23.08 +00:00","","73","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=78570","http://www.factor2.com/v/vspfiles/photos/78570-1.jpg","Lab Supplies / Tools","0",""
"7890","","Muslin 3 Buffering wheel 3X24 ply","","","","3","11/23/2022 10:48:00 AM","","","","13244","","","","","","","","N","N","","","","","","","","1","N","","","","","","","","N","3.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","Muslin 3 Buffering wheel 3X24 ply","","","","","","","","","","","","","","","","","","","","","","","","","","","","2/25/2021 7:24:38 AM","","","","","","","73,110,65","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=7890","http://www.factor2.com/v/vspfiles/photos/7890-1.jpg","Lab Supplies / Tools","0",""
"7910","","7910 Muslin Buffering Wheel","","","","6","10/24/2022 2:09:00 PM","","","","13244","","","","","","","","N","N","","","","","","","","1","N","","","","","","","","N","4.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","Muslin Buffering Wheel","","","","","","","","","","","","","","","","","","","","","","","","","","","","4/7/2021 1:56:37 PM","","","","","","","73","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=7910","http://www.factor2.com/v/vspfiles/photos/7910-1.jpg","Lab Supplies / Tools","0",""
"7920","","Chamois Buffering Wheel 2 1/2","","","","14","1/9/2023 2:31:00 PM","","","","13244","","","","","","","","N","N","","","","","","","","1","N","","","","","","","","N","12.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","Chamois Buffering Wheel 2 1/2","","","","","","","","","","","","","","","","","","","","","","","","","","","","2/24/2021 1:26:58 PM","","","","","","","73,111,110","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=7920","http://www.factor2.com/v/vspfiles/photos/7920-1.jpg","Lab Supplies / Tools","0",""
"7930","","Muslin 3 buffing wheels 3X35 ply","","","","5","11/23/2022 10:41:00 AM","","","","13244","","","","","","","","N","N","","","","","","","","2","N","","","","","","","","N","4.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","Muslin 3 Buffing Wheels 3X35 ply","","","","","","","","","","","","","","","","","","","","","","","","","","","","2/24/2021 1:14:04 PM","","","","","","","73","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=7930","http://www.factor2.com/v/vspfiles/photos/7930-1.jpg","Lab Supplies / Tools","0",""
